Date,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily
Jan 05, 2024,6821940,6821940,2110,12864,161972,161972,0
Jan 06, 2024,6821940,6821940,0,12864,161972,161972,0
Jan 07, 2024,6821940,6821940,0,12841,161995,161995,23
Jan 08, 2024,6821940,6821940,0,12841,161995,161995,0
Jan 09, 2024,6821940,6821940,0,12841,161995,161995,0
Jan 10, 2024,6821940,6821940,0,12841,161995,161995,0
Jan 11, 2024,6821940,6821940,0,12841,161995,161995,0
Jan 12, 2024,6823536,6823536,1596,14437,161995,161995,0
Jan 13, 2024,6823536,6823536,0,14437,161995,161995,0
Jan 14, 2024,6823536,6823536,0,14417,162015,162015,20
Jan 15, 2024,6823536,6823536,0,14417,162015,162015,0
Jan 16, 2024,6823536,6823536,0,14417,162015,162015,0
Jan 17, 2024,6823536,6823536,0,14417,162015,162015,0
Jan 18, 2024,6823536,6823536,0,14417,162015,162015,0
Jan 19, 2024,6825402,6825402,1866,16283,162015,162015,0
Jan 20, 2024,6825402,6825402,0,16283,162015,162015,0
Jan 21, 2024,6826750,6826750,1348,17613,162033,162033,18
Jan 22, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 23, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 24, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 25, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 26, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 27, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 28, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 29, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 30, 2024,6826750,6826750,0,17613,162033,162033,0
Jan 31, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 01, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 02, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 03, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 04, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 05, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 06, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 07, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 08, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 09, 2024,6826750,6826750,0,17613,162033,162033,0
Feb 10, 2024,6828220,6828220,1470,19083,162033,162033,0
Feb 11, 2024,6828220,6828220,0,19083,162033,162033,0
Feb 12, 2024,6828220,6828220,0,19083,162033,162033,0
Feb 13, 2024,6828220,6828220,0,19083,162033,162033,0
Feb 14, 2024,6828220,6828220,0,19083,162033,162033,0
Feb 15, 2024,6828220,6828220,0,19083,162033,162033,0
Feb 16, 2024,6828220,6828220,0,19083,162033,162033,0
Feb 17, 2024,6828605,6828605,385,19468,162033,162033,0
Feb 18, 2024,6828605,6828605,0,19468,162033,162033,0
Feb 19, 2024,6828605,6828605,0,19468,162033,162033,0
Feb 20, 2024,6828605,6828605,0,19468,162033,162033,0
Feb 21, 2024,6828605,6828605,0,19468,162033,162033,0
Feb 22, 2024,6828605,6828605,0,19468,162033,162033,0
Feb 23, 2024,6828838,6828838,233,19673,162061,162061,28
Feb 24, 2024,6828838,6828838,0,19673,162061,162061,0
Feb 25, 2024,6828838,6828838,0,19673,162061,162061,0
Feb 26, 2024,6828838,6828838,0,19673,162061,162061,0
Feb 27, 2024,6828838,6828838,0,19673,162061,162061,0
Feb 28, 2024,6828838,6828838,0,19673,162061,162061,0
Feb 29, 2024,6828838,6828838,0,19673,162061,162061,0
Mar 01, 2024,6828838,6828838,0,19673,162061,162061,0
Mar 02, 2024,6829005,6829005,167,19839,162062,162062,1
Mar 03, 2024,6829005,6829005,0,19839,162062,162062,0
Mar 04, 2024,6829005,6829005,0,19839,162062,162062,0
Mar 05, 2024,6829005,6829005,0,19839,162062,162062,0
Mar 06, 2024,6829005,6829005,0,19839,162062,162062,0
Mar 07, 2024,6829005,6829005,0,19839,162062,162062,0
Mar 08, 2024,6829005,6829005,0,19839,162062,162062,0
Mar 09, 2024,6829087,6829087,82,19921,162062,162062,0
Mar 10, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 11, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 12, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 13, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 14, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 15, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 16, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 17, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 18, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 19, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 20, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 21, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 22, 2024,6829087,6829087,0,19921,162062,162062,0
Mar 23, 2024,6829162,6829162,75,19995,162063,162063,1
Mar 24, 2024,6829162,6829162,0,19995,162063,162063,0
Mar 25, 2024,6829162,6829162,0,19995,162063,162063,0
Mar 26, 2024,6829162,6829162,0,19995,162063,162063,0
Mar 27, 2024,6829162,6829162,0,19995,162063,162063,0
Mar 28, 2024,6829162,6829162,0,19995,162063,162063,0
Mar 29, 2024,6829162,6829162,0,19995,162063,162063,0
Mar 30, 2024,6829162,6829162,0,19995,162063,162063,0
Mar 31, 2024,6829162,6829162,0,19995,162063,162063,0
Apr 01, 2024,6829162,6829162,0,19995,162063,162063,0
Apr 02, 2024,6829162,6829162,0,19995,162063,162063,0
Apr 03, 2024,6829162,6829162,0,19995,162063,162063,0
Apr 04, 2024,6829162,6829162,0,19995,162063,162063,0
Apr 05, 2024,6829162,6829162,0,19995,162063,162063,0
Apr 06, 2024,6829162,6829162,0,19995,162063,162063,0
Apr 07, 2024,6829221,6829221,59,20054,162063,162063,0
Apr 08, 2024,6829221,6829221,0,20054,162063,162063,0
Apr 09, 2024,6829221,6829221,0,20054,162063,162063,0
Apr 10, 2024,6829221,6829221,0,20054,162063,162063,0
Apr 11, 2024,6829221,6829221,0,20054,162063,162063,0
Apr 12, 2024,6829221,6829221,0,20054,162063,162063,0
